canonical_name,2017,2018,2019,2020,2021,2022,2023,2024,2025
Andhra Pradesh,52221000,52727000,53234000,53740000,54246000,54710000,55174000,55638000,56102000
Arunachal Pradesh,1504000,1533000,1562000,1591000,1620000,1649000,1678000,1707000,1736000
Assam,34293000,34699000,35106000,35512000,35919000,36312000,36705000,37098000,37491000
Bihar,119461000,121800000,124139000,126478000,128817000,131156000,133495000,135834000,138173000
Chhattisgarh,28724000,28973000,29222000,29471000,29720000,29970000,30219000,30469000,30718000
Goa,1542000,1556000,1570000,1584000,1598000,1612000,1626000,1640000,1654000
Gujarat,67936000,68796000,69656000,70516000,71376000,72199000,73022000,73845000,74668000
Haryana,28672000,29139000,29606000,30073000,30540000,31007000,31474000,31941000,32408000
Himachal Pradesh,7300000,7352000,7404000,7456000,7508000,7560000,7612000,7664000,7716000
Jharkhand,37403000,37919000,38435000,38951000,39467000,39983000,40499000,41015000,41531000
Karnataka,66458000,67402000,68346000,69290000,70234000,71178000,72122000,73066000,74010000
Kerala,35330000,35413000,35496000,35579000,35662000,35745000,35828000,35911000,35994000
Madhya Pradesh,80883000,81971000,83059000,84147000,85235000,86323000,87411000,88499000,89587000
Maharashtra,122153000,123413000,124673000,125933000,127193000,128453000,129713000,130973000,132233000
Manipur,2992000,3050000,3108000,3166000,3224000,3282000,3340000,3398000,3456000
Meghalaya,3276000,3350000,3424000,3498000,3572000,3646000,3720000,3794000,3868000
Mizoram,1189000,1214000,1239000,1264000,1289000,1314000,1339000,1364000,1389000
Nagaland,2150000,2182000,2214000,2246000,2278000,2310000,2342000,2374000,2406000
Odisha,44395000,44753000,45111000,45469000,45827000,46185000,46543000,46901000,47259000
Punjab,29859000,30121000,30383000,30645000,30907000,31169000,31431000,31693000,31955000
Rajasthan,77264000,78346000,79428000,80510000,81592000,82674000,83756000,84838000,85920000
Sikkim,658000,670000,682000,694000,706000,718000,730000,742000,754000
Tamil Nadu,77043000,77489000,77935000,78381000,78827000,79273000,79719000,80165000,80611000
Telangana,37220000,37647000,38074000,38501000,38928000,39355000,39782000,40209000,40636000
Tripura,3988000,4037000,4086000,4135000,4184000,4233000,4282000,4331000,4380000
Uttar Pradesh,224979000,228248000,231517000,234786000,238055000,241324000,244593000,247862000,251131000
Uttarakhand,11090000,11224000,11358000,11492000,11626000,11760000,11894000,12028000,12162000
West Bengal,96906000,97660000,98414000,99168000,99922000,100676000,101430000,102184000,102938000
Andaman & Nicobar Islands,397000,399000,401000,403000,405000,407000,409000,411000,413000
Chandigarh,1126000,1142000,1158000,1174000,1190000,1206000,1222000,1238000,1254000
Dadra & Nagar Haveli and Daman & Diu,615000,629000,643000,657000,671000,685000,699000,713000,727000
Delhi,19067000,19354000,19641000,19928000,20215000,20502000,20789000,21076000,21363000
Jammu & Kashmir,13365000,13530000,13695000,13860000,14025000,14190000,14355000,14520000,14685000
Ladakh,300000,305000,310000,315000,320000,325000,330000,335000,340000
Lakshadweep,68000,69000,70000,71000,72000,73000,74000,75000,76000
Puducherry,1392000,1405000,1418000,1431000,1444000,1457000,1470000,1483000,1496000
